OutcomeType,AnimalType,SexuponOutcome,Breed,Color,mix_breed,clean_age,weekday,hour,day,month,Sex,neuter_status
Euthanasia,Dog,Spayed Female,Pit Bull Mix,Red,1,60.0,1,14,4,11,Female,Spayed
Adoption,Dog,Spayed Female,Miniature Poodle Mix,Other,1,24.0,3,18,24,7,Female,Spayed
Return_to_owner,Dog,Intact Male,Labrador Retriever Mix,Black,1,96.0,0,18,10,8,Male,Intact
Return_to_owner,Dog,Neutered Male,Pit Bull Mix,Brown/White,1,12.0,0,12,13,1,Male,Neutered
Adoption,Dog,Neutered Male,Other,Sable,1,5.0,5,0,28,11,Male,Neutered
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,1,0.75,1,16,15,7,Male,Intact
Adoption,Dog,Neutered Male,Labrador Retriever Mix,Black/White,1,48.0,1,15,24,12,Male,Neutered
Adoption,Dog,Neutered Male,Other,Tricolor,0,5.0,2,18,29,7,Male,Neutered
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Black/White,1,0.25,4,16,25,7,Male,Intact
Adoption,Dog,Neutered Male,Labrador Retriever Mix,White/Tan,1,2.0,1,16,17,11,Male,Neutered
Return_to_owner,Dog,Spayed Female,Other,Other,1,12.0,1,12,1,10,Female,Spayed
Adoption,Dog,Neutered Male,Other,Tan/White,0,10.0,2,18,5,11,Male,Neutered
Transfer,Dog,Spayed Female,Pit Bull Mix,White,1,24.0,4,15,25,4,Female,Spayed
Adoption,Dog,Spayed Female,Other,Other,1,2.0,6,18,19,10,Female,Spayed
Return_to_owner,Dog,Intact Male,Labrador Retriever Mix,Black,1,12.0,6,15,12,1,Male,Intact
Return_to_owner,Dog,Neutered Male,Other,Black,0,24.0,0,18,13,10,Male,Neutered
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,White/Blue,1,2.0,5,8,14,12,Male,Neutered
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Other,1,1.0,4,11,13,11,Female,Intact
Return_to_owner,Dog,Spayed Female,Labrador Retriever Mix,Black,1,72.0,1,14,1,12,Female,Spayed
Return_to_owner,Dog,Neutered Male,German Shepherd Mix,Sable,1,12.0,5,18,9,5,Male,Neutered
Return_to_owner,Cat,Neutered Male,Siamese Mix,Lynx Point,1,36.0,2,15,6,11,Male,Neutered
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Tortie,1,144.0,5,14,8,11,Female,Spayed
Adoption,Dog,Spayed Female,Other,Black,0,2.0,2,16,8,10,Female,Spayed
Transfer,Dog,Neutered Male,Other,Black,1,24.0,5,11,2,8,Male,Neutered
Adoption,Dog,Neutered Male,Labrador Retriever Mix,Black/White,1,12.0,6,18,2,8,Male,Neutered
Transfer,Cat,Intact Female,Siamese Mix,Lynx Point,1,2.0,0,13,25,5,Female,Intact
Return_to_owner,Dog,Spayed Female,Australian Cattle Dog Mix,Black/White,1,84.0,1,14,1,4,Female,Spayed
Return_to_owner,Dog,Spayed Female,Other,Red/White,0,132.0,0,12,17,11,Female,Spayed
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,1,0.75,4,16,16,5,Male,Intact
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Other,1,4.0,3,12,14,8,Male,Neutered
Adoption,Dog,Spayed Female,Other,Tricolor,0,48.0,6,16,7,12,Female,Spayed
Return_to_owner,Dog,Neutered Male,Other,White/Brown,0,5.0,1,16,2,6,Male,Neutered
Return_to_owner,Dog,Spayed Female,Beagle Mix,Tricolor,1,60.0,0,19,31,3,Female,Spayed
Adoption,Dog,Neutered Male,Other,Tan/White,0,3.0,4,19,27,2,Male,Neutered
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,1,1.0,5,0,4,7,Male,Intact
Return_to_owner,Dog,Intact Male,Pit Bull Mix,Blue/White,1,12.0,1,12,26,8,Male,Intact
Transfer,Cat,Unknown,Domestic Shorthair Mix,Brown Tabby,1,0.25,3,18,12,3,Unknown,Unknown
Return_to_owner,Dog,Neutered Male,Chihuahua Shorthair Mix,Tan/White,1,72.0,1,16,20,10,Male,Neutered
Adoption,Dog,Spayed Female,Other,Tricolor,0,120.0,5,12,26,7,Female,Spayed
Euthanasia,Dog,Neutered Male,Other,Black/White,0,120.0,2,9,30,12,Male,Neutered
Transfer,Dog,Spayed Female,Labrador Retriever Mix,White/Brown,1,6.0,1,15,15,4,Female,Spayed
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby/White,1,3.0,6,16,8,11,Female,Spayed
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Calico,1,2.0,5,13,18,7,Female,Spayed
Euthanasia,Dog,Intact Male,Australian Cattle Dog Mix,Brown Brindle,1,192.0,4,17,28,8,Male,Intact
Transfer,Cat,Unknown,Domestic Shorthair Mix,Other,1,0.0,1,10,16,2,Unknown,Unknown
Return_to_owner,Dog,Intact Male,Other,Black/White,0,9.0,6,13,9,11,Male,Intact
Adoption,Dog,Neutered Male,Beagle Mix,Black/White,1,36.0,0,11,11,11,Male,Neutered
Adoption,Dog,Neutered Male,Chihuahua Shorthair Mix,Brown,1,60.0,1,14,17,2,Male,Neutered
Return_to_owner,Dog,Spayed Female,Other,Tan,0,24.0,2,17,20,5,Female,Spayed
Euthanasia,Cat,Unknown,Domestic Shorthair Mix,Other,1,24.0,0,0,12,10,Unknown,Unknown
Transfer,Dog,Spayed Female,German Shepherd Mix,Black/Tan,1,12.0,0,14,12,5,Female,Spayed
Adoption,Dog,Neutered Male,Cairn Terrier Mix,Black,1,24.0,6,17,28,12,Male,Neutered
Adoption,Dog,Spayed Female,Chihuahua Shorthair Mix,Other,1,72.0,1,15,6,1,Female,Spayed
Return_to_owner,Dog,Spayed Female,Other,White,1,24.0,2,13,4,12,Female,Spayed
Adoption,Cat,Neutered Male,Domestic Medium Hair Mix,Black,1,1.0,1,13,30,9,Male,Neutered
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby,1,2.0,3,13,12,6,Female,Spayed
Return_to_owner,Dog,Spayed Female,Other,Tan,1,48.0,2,19,4,11,Female,Spayed
Transfer,Dog,Intact Female,Chihuahua Shorthair Mix,Other,1,2.0,5,14,29,11,Female,Intact
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby/White,1,7.0,3,8,3,9,Male,Neutered
Adoption,Dog,Spayed Female,Other,Tan,1,12.0,5,17,19,12,Female,Spayed
Adoption,Cat,Spayed Female,Domestic Longhair Mix,Tortie,1,156.0,1,8,12,1,Female,Spayed
Transfer,Dog,Neutered Male,Other,Other,1,12.0,2,16,4,2,Male,Neutered
Transfer,Cat,Intact Female,Siamese Mix,Seal Point,1,48.0,4,11,29,1,Female,Intact
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,1,7.0,5,17,18,1,Male,Neutered
Transfer,Dog,Neutered Male,Labrador Retriever Mix,Black,1,60.0,6,17,22,3,Male,Neutered
Return_to_owner,Dog,Spayed Female,Other,Yellow,0,84.0,0,11,15,9,Female,Spayed
Return_to_owner,Dog,Neutered Male,Other,Brown/White,0,12.0,6,18,22,12,Male,Neutered
Return_to_owner,Cat,Spayed Female,Domestic Shorthair Mix,Tortie,1,24.0,1,13,6,10,Female,Spayed
Died,Dog,Intact Male,Other,Black/White,0,1.0,0,9,15,12,Male,Intact
Adoption,Dog,Neutered Male,Chihuahua Shorthair Mix,White/Tan,1,24.0,6,17,30,8,Male,Neutered
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Black,1,1.0,2,14,24,9,Female,Intact
Adoption,Dog,Spayed Female,Other,Brown,1,7.0,6,17,4,5,Female,Spayed
Adoption,Dog,Spayed Female,Labrador Retriever Mix,Black/White,1,2.0,3,18,22,10,Female,Spayed
Adoption,Dog,Neutered Male,Labrador Retriever Mix,Brown/White,1,12.0,5,18,3,1,Male,Neutered
Return_to_owner,Dog,Neutered Male,Other,Blue/White,1,60.0,1,16,3,6,Male,Neutered
Transfer,Cat,Unknown,Domestic Shorthair Mix,Cream,1,0.0,0,18,9,3,Unknown,Unknown
Transfer,Dog,Neutered Male,Other,Blue/White,1,12.0,0,15,21,12,Male,Neutered
Return_to_owner,Dog,Neutered Male,Other,Brown Brindle,0,24.0,0,14,6,10,Male,Neutered
Adoption,Dog,Spayed Female,Other,Brown/White,0,1.0,3,18,21,5,Female,Spayed
Adoption,Dog,Spayed Female,Other,Other,0,144.0,5,14,6,9,Female,Spayed
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Calico,1,24.0,5,18,5,10,Female,Spayed
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Black,1,60.0,4,14,10,1,Male,Intact
Adoption,Cat,Intact Female,Domestic Shorthair Mix,Calico,1,3.0,2,16,11,11,Female,Intact
Transfer,Dog,Intact Male,Pit Bull Mix,Black/White,1,24.0,1,18,8,12,Male,Intact
Adoption,Cat,Neutered Male,Domestic Medium Hair Mix,Black/White,1,2.0,0,17,1,9,Male,Neutered
Adoption,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,1,5.0,6,16,29,11,Male,Intact
Transfer,Dog,Spayed Female,Other,Brown/White,0,72.0,4,13,11,10,Female,Spayed
Euthanasia,Cat,Intact Male,Domestic Shorthair Mix,Other,1,9.0,0,15,4,8,Male,Intact
Return_to_owner,Dog,Neutered Male,Other,Chocolate,0,96.0,1,12,18,8,Male,Neutered
Adoption,Dog,Neutered Male,Pit Bull Mix,Brown Brindle,1,24.0,5,16,20,9,Male,Neutered
Return_to_owner,Cat,Neutered Male,Other,Other,1,60.0,2,12,1,4,Male,Neutered
Adoption,Dog,Neutered Male,Australian Cattle Dog Mix,Brown Brindle/White,1,1.0,2,17,13,8,Male,Neutered
Transfer,Dog,Spayed Female,Other,Black/White,0,84.0,3,13,7,1,Female,Spayed
Return_to_owner,Dog,Spayed Female,Dachshund Mix,Tricolor,1,72.0,5,11,27,9,Female,Spayed
Adoption,Dog,Spayed Female,Pit Bull Mix,Brown Brindle,1,12.0,1,15,20,1,Female,Spayed
Return_to_owner,Dog,Spayed Female,American Bulldog Mix,White/Brown,1,60.0,2,11,19,2,Female,Spayed
Transfer,Cat,Spayed Female,Domestic Shorthair Mix,Calico,1,12.0,5,9,29,8,Female,Spayed
Return_to_owner,Dog,Intact Male,Other,Red,1,156.0,4,17,1,11,Male,Intact
Adoption,Dog,Spayed Female,Pit Bull Mix,White/Tan,1,24.0,2,15,31,12,Female,Spayed
Transfer,Dog,Neutered Male,Other,Brown Brindle/White,1,12.0,5,14,3,1,Male,Neutered
Transfer,Dog,Intact Male,Chihuahua Shorthair Mix,Black/White,1,12.0,3,8,26,6,Male,Intact
Adoption,Dog,Spayed Female,Other,Sable,0,36.0,1,8,29,12,Female,Spayed
Adoption,Dog,Spayed Female,Chihuahua Shorthair Mix,White/Tan,1,36.0,1,17,4,2,Female,Spayed
Euthanasia,Cat,Neutered Male,Other,Blue,1,60.0,4,9,18,7,Male,Neutered
Return_to_owner,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,1,36.0,3,18,14,11,Male,Neutered
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,1,0.75,1,14,2,6,Male,Intact
Adoption,Dog,Spayed Female,Other,White,0,24.0,6,16,15,2,Female,Spayed
Adoption,Dog,Spayed Female,Other,Red,1,2.0,1,17,1,12,Female,Spayed
Return_to_owner,Dog,Neutered Male,Other,White,0,36.0,4,16,9,5,Male,Neutered
Return_to_owner,Cat,Neutered Male,Domestic Shorthair Mix,Black,1,24.0,5,14,13,2,Male,Neutered
Transfer,Dog,Neutered Male,Boxer Mix,White,1,36.0,0,13,15,9,Male,Neutered
Transfer,Cat,Intact Female,Domestic Longhair Mix,Orange Tabby,1,24.0,2,18,4,6,Female,Intact
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Calico,1,3.0,0,18,14,10,Female,Spayed
Adoption,Dog,Spayed Female,Chihuahua Shorthair Mix,White/Brown,1,12.0,3,18,10,4,Female,Spayed
Adoption,Dog,Neutered Male,Other,Black/White,1,12.0,6,15,18,1,Male,Neutered
Adoption,Dog,Spayed Female,Labrador Retriever Mix,Black,1,6.0,0,18,6,7,Female,Spayed
Adoption,Dog,Neutered Male,Other,Other,0,2.0,5,17,21,6,Male,Neutered
Transfer,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,1,60.0,5,9,20,6,Male,Neutered
Adoption,Cat,Intact Female,Domestic Shorthair Mix,Other,1,2.0,0,16,22,6,Female,Intact
Euthanasia,Dog,Spayed Female,Pit Bull Mix,Brown/Black,1,36.0,4,18,6,2,Female,Spayed
Adoption,Cat,Spayed Female,Siamese Mix,Other,1,2.0,4,16,7,8,Female,Spayed
Adoption,Cat,Spayed Female,Domestic Longhair Mix,Torbie,1,2.0,3,14,14,11,Female,Spayed
Transfer,Cat,Spayed Female,Domestic Medium Hair Mix,Calico,1,24.0,2,9,4,2,Female,Spayed
Adoption,Dog,Spayed Female,Other,Tan/Black,1,24.0,4,17,27,11,Female,Spayed
Adoption,Dog,Spayed Female,Other,White/Brown,0,12.0,1,16,17,12,Female,Spayed
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Blue,1,2.0,0,17,28,7,Male,Neutered
Transfer,Dog,Intact Female,Pit Bull Mix,Brown,1,6.0,2,11,11,6,Female,Intact
Adoption,Dog,Spayed Female,Other,Black/White,1,48.0,4,19,14,11,Female,Spayed
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Blue/White,1,4.0,0,12,8,9,Male,Neutered
Adoption,Dog,Spayed Female,German Shepherd Mix,Tan/White,1,36.0,6,11,4,10,Female,Spayed
Euthanasia,Cat,Intact Male,Other,Seal Point,1,2.0,6,16,7,9,Male,Intact
Adoption,Dog,Neutered Male,Other,White,0,60.0,2,18,16,7,Male,Neutered
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby/White,1,2.0,6,18,8,11,Male,Neutered
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Blue Tabby,1,0.75,3,18,4,9,Male,Intact
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,1,0.75,4,18,14,8,Female,Intact
Adoption,Dog,Spayed Female,Rat Terrier Mix,Tricolor,1,12.0,4,18,12,6,Female,Spayed
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,1,24.0,5,17,3,1,Male,Neutered
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Orange Tabby/White,1,2.0,5,16,5,9,Female,Spayed
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Blue Tabby,1,0.0,6,13,4,5,Male,Intact
Transfer,Dog,Neutered Male,Labrador Retriever Mix,Black/White,1,48.0,4,15,18,9,Male,Neutered
Adoption,Dog,Neutered Male,Australian Cattle Dog Mix,Other,1,36.0,5,14,17,10,Male,Neutered
Transfer,Dog,Spayed Female,Other,White/Black,0,6.0,5,9,26,9,Female,Spayed
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/White,1,1.0,3,18,25,9,Male,Intact
Adoption,Cat,Neutered Male,Domestic Medium Hair Mix,Other,1,2.0,1,18,5,8,Male,Neutered
Transfer,Cat,Spayed Female,Domestic Shorthair Mix,Black,1,12.0,0,9,1,6,Female,Spayed
Transfer,Dog,Intact Female,Pit Bull Mix,Brown Brindle,1,96.0,1,15,4,3,Female,Intact
Transfer,Dog,Intact Male,Other,White/Brown,1,9.0,0,18,28,7,Male,Intact
Transfer,Dog,Intact Female,Labrador Retriever Mix,Black,1,60.0,4,14,18,4,Female,Intact
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby/White,1,96.0,4,15,26,12,Female,Spayed
Return_to_owner,Dog,Spayed Female,Miniature Poodle Mix,White,1,24.0,1,17,16,2,Female,Spayed
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby/White,1,2.0,0,16,13,7,Male,Neutered
Adoption,Dog,Spayed Female,Miniature Schnauzer Mix,Other,1,24.0,0,18,12,10,Female,Spayed
Adoption,Dog,Neutered Male,Chihuahua Longhair Mix,Tricolor,1,12.0,2,12,27,1,Male,Neutered
Transfer,Dog,Intact Male,Other,Other,1,1.0,6,16,16,3,Male,Intact
Transfer,Dog,Intact Male,Pit Bull Mix,Blue/White,1,0.0,6,15,5,1,Male,Intact
Return_to_owner,Dog,Intact Male,Other,Brown,0,36.0,0,11,10,3,Male,Intact
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby,1,4.0,6,16,13,12,Female,Spayed
Adoption,Dog,Neutered Male,Other,Brown/Black,0,24.0,4,18,18,7,Male,Neutered
Return_to_owner,Dog,Neutered Male,Yorkshire Terrier Mix,Black/Brown,1,36.0,6,15,20,10,Male,Neutered
Adoption,Dog,Spayed Female,Chihuahua Longhair Mix,Black/White,1,4.0,0,18,21,9,Female,Spayed
Adoption,Dog,Spayed Female,Other,Brown/White,0,24.0,6,20,4,5,Female,Spayed
Adoption,Dog,Neutered Male,Other,Tricolor,0,120.0,5,14,22,2,Male,Neutered
Return_to_owner,Dog,Neutered Male,Labrador Retriever Mix,Black/White,1,12.0,6,14,17,5,Male,Neutered
Transfer,Cat,Spayed Female,Domestic Shorthair Mix,Tortie,1,24.0,0,15,28,10,Female,Spayed
Return_to_owner,Dog,Spayed Female,Siberian Husky Mix,Black/White,1,180.0,4,17,27,12,Female,Spayed
Adoption,Dog,Neutered Male,German Shepherd Mix,Brown/Black,1,2.0,0,19,7,4,Male,Neutered
Return_to_owner,Dog,Neutered Male,Other,Other,0,72.0,4,17,18,9,Male,Neutered
Adoption,Dog,Neutered Male,Other,Other,0,12.0,6,16,10,11,Male,Neutered
Transfer,Cat,Intact Female,Domestic Shorthair,Other,0,24.0,5,9,8,8,Female,Intact
Adoption,Dog,Intact Male,Other,Tricolor,1,2.0,3,18,21,5,Male,Intact
Adoption,Dog,Spayed Female,Other,Brown/White,0,9.0,1,19,29,12,Female,Spayed
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Tortie,1,7.0,5,17,26,12,Female,Spayed
Adoption,Dog,Spayed Female,Pit Bull Mix,Black,1,12.0,3,19,7,1,Female,Spayed
Transfer,Dog,Intact Female,Other,Red,0,1.0,2,14,30,4,Female,Intact
Adoption,Dog,Neutered Male,Chihuahua Shorthair Mix,Black/White,1,5.0,0,16,3,3,Male,Neutered
Adoption,Cat,Spayed Female,Domestic Medium Hair Mix,Brown Tabby/White,1,2.0,6,18,7,12,Female,Spayed
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Black,1,12.0,2,9,22,7,Female,Intact
Adoption,Dog,Neutered Male,Labrador Retriever Mix,Black,1,5.0,4,11,12,9,Male,Neutered
Adoption,Dog,Spayed Female,German Shepherd Mix,Black/Tan,1,9.0,0,17,21,10,Female,Spayed
Transfer,Cat,Unknown,Domestic Shorthair Mix,Orange Tabby,1,6.0,1,19,20,5,Unknown,Unknown
Adoption,Dog,Neutered Male,Other,Black/Tan,1,24.0,5,13,7,3,Male,Neutered
Return_to_owner,Dog,Spayed Female,Siberian Husky Mix,Black/White,1,4.0,6,12,1,11,Female,Spayed
Adoption,Dog,Neutered Male,Pit Bull Mix,Black/White,1,12.0,4,15,20,2,Male,Neutered
Adoption,Dog,Neutered Male,Boxer Mix,Brown/White,1,5.0,2,18,25,3,Male,Neutered
Adoption,Dog,Spayed Female,Cairn Terrier Mix,Tan,1,2.0,0,13,7,7,Female,Spayed
Transfer,Dog,Neutered Male,Labrador Retriever Mix,Black,1,84.0,6,16,9,11,Male,Neutered
Transfer,Cat,Spayed Female,Domestic Shorthair Mix,Blue Tabby,1,12.0,0,14,3,2,Female,Spayed
Transfer,Cat,Intact Female,Domestic Medium Hair Mix,Blue,1,0.5,2,11,16,10,Female,Intact
Transfer,Cat,Intact Female,Other,Black,0,0.75,0,11,14,10,Female,Intact
Return_to_owner,Dog,Neutered Male,Pit Bull Mix,Tan,1,60.0,1,18,23,6,Male,Neutered
Transfer,Dog,Neutered Male,Other,Other,0,24.0,2,15,15,4,Male,Neutered
Adoption,Dog,Spayed Female,Pit Bull Mix,Blue/White,1,24.0,5,17,5,10,Female,Spayed
Transfer,Dog,Intact Female,Pit Bull Mix,Tan/White,1,24.0,1,16,28,4,Female,Intact
Adoption,Dog,Neutered Male,Other,Other,1,24.0,6,14,26,10,Male,Neutered
Transfer,Dog,Spayed Female,Other,Black,0,36.0,0,15,3,3,Female,Spayed
Return_to_owner,Dog,Spayed Female,Other,Brown/Black,1,12.0,0,18,17,2,Female,Spayed
Transfer,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby,1,48.0,0,13,16,2,Female,Spayed
Transfer,Dog,Neutered Male,Other,White/Blue,0,24.0,5,17,11,7,Male,Neutered
Transfer,Dog,Intact Female,Other,Other,0,12.0,2,16,23,7,Female,Intact
Euthanasia,Cat,Intact Male,Domestic Shorthair Mix,Blue Tabby,1,12.0,3,17,23,7,Male,Intact
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Black/White,1,1.0,2,14,18,6,Male,Intact
Adoption,Dog,Spayed Female,Labrador Retriever Mix,Brown/White,1,4.0,6,17,22,6,Female,Spayed
Adoption,Dog,Neutered Male,Pit Bull Mix,Brown/White,1,9.0,5,17,12,9,Male,Neutered
Adoption,Cat,Neutered Male,Domestic Shorthair,Cream Tabby,0,1.0,3,18,23,7,Male,Neutered
Adoption,Dog,Neutered Male,Yorkshire Terrier Mix,Black/Tan,1,24.0,3,18,24,4,Male,Neutered
Transfer,Dog,Intact Male,Chihuahua Longhair Mix,Black,1,2.0,5,0,20,6,Male,Intact
Return_to_owner,Dog,Spayed Female,Other,Black/White,0,84.0,3,18,30,4,Female,Spayed
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Black,1,3.0,4,12,14,8,Male,Neutered
Return_to_owner,Dog,Spayed Female,Other,Other,0,36.0,4,13,27,11,Female,Spayed
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,1,1.0,5,0,9,11,Male,Intact
Return_to_owner,Cat,Spayed Female,Domestic Medium Hair Mix,Black,1,108.0,2,17,4,2,Female,Spayed
Transfer,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,1,12.0,4,13,5,12,Male,Neutered
Adoption,Dog,Spayed Female,Other,Black/White,0,2.0,2,13,15,1,Female,Spayed
Transfer,Dog,Intact Male,Dachshund Mix,Tan,1,3.0,1,13,26,11,Male,Intact
Adoption,Dog,Spayed Female,Other,Black/Tan,0,60.0,5,18,4,1,Female,Spayed
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Cream Tabby,1,3.0,2,14,6,11,Male,Neutered
Transfer,Dog,Spayed Female,Other,Other,1,6.0,6,0,19,7,Female,Spayed
Adoption,Dog,Neutered Male,Miniature Poodle Mix,White,1,24.0,2,17,3,9,Male,Neutered
Transfer,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,1,4.0,2,9,16,7,Male,Neutered
Transfer,Dog,Neutered Male,Chihuahua Shorthair Mix,Black/Brown,1,60.0,3,12,14,8,Male,Neutered
Transfer,Dog,Intact Male,Other,White/Tan,1,6.0,2,14,10,12,Male,Intact
Transfer,Dog,Spayed Female,Other,Tan/White,0,12.0,0,16,7,9,Female,Spayed
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Blue Tabby/White,1,0.75,3,17,26,6,Female,Intact
Return_to_owner,Dog,Spayed Female,Other,White,1,48.0,1,15,25,2,Female,Spayed
Return_to_owner,Dog,Neutered Male,Pit Bull Mix,Brown,1,6.0,3,17,1,1,Male,Neutered
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Blue,1,0.75,0,14,29,9,Female,Intact
Adoption,Dog,Spayed Female,Other,Other,0,2.0,0,18,22,9,Female,Spayed
Adoption,Dog,Spayed Female,Dachshund Mix,Tan/White,1,2.0,3,16,17,9,Female,Spayed
Adoption,Dog,Spayed Female,Other,Black,1,12.0,5,12,14,3,Female,Spayed
Adoption,Dog,Neutered Male,Other,Black/White,0,60.0,4,13,8,8,Male,Neutered
Euthanasia,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,1,1.0,0,13,27,7,Female,Intact
Died,Cat,Intact Female,Domestic Shorthair Mix,Blue,1,2.0,0,0,12,5,Female,Intact
Died,Cat,Intact Male,Domestic Shorthair Mix,Blue Tabby/White,1,0.25,4,8,7,8,Male,Intact
Return_to_owner,Dog,Neutered Male,Pit Bull Mix,Brown Brindle,1,24.0,6,18,9,8,Male,Neutered
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Black,1,24.0,3,9,30,4,Male,Intact
Adoption,Dog,Spayed Female,Boxer Mix,Brown Brindle/White,1,96.0,3,18,6,11,Female,Spayed
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Other,1,3.0,0,11,23,12,Male,Intact
Transfer,Dog,Spayed Female,Australian Cattle Dog Mix,Other,1,120.0,2,12,1,10,Female,Spayed
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,1,12.0,2,9,22,7,Male,Intact
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Black,1,60.0,5,16,22,2,Male,Neutered
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Black,1,4.0,3,16,10,10,Male,Intact
Return_to_owner,Dog,Neutered Male,Miniature Schnauzer Mix,Black/Tan,1,24.0,3,16,12,12,Male,Neutered
Transfer,Dog,Neutered Male,Labrador Retriever Mix,Yellow,1,36.0,5,12,22,3,Male,Neutered
Euthanasia,Dog,Neutered Male,Rottweiler Mix,Black/Brown,1,132.0,1,9,15,9,Male,Neutered
Adoption,Dog,Neutered Male,Labrador Retriever Mix,Black,1,24.0,2,18,29,10,Male,Neutered
Adoption,Dog,Neutered Male,Chihuahua Shorthair Mix,Tan/White,1,24.0,5,15,31,5,Male,Neutered
Transfer,Dog,Intact Male,German Shepherd Mix,Brown,1,12.0,6,15,29,3,Male,Intact
Adoption,Cat,Neutered Male,Other,Other,0,1.0,1,17,5,5,Male,Neutered
Transfer,Cat,Intact Male,Other,Black/White,1,36.0,0,11,11,5,Male,Intact
Transfer,Cat,Unknown,Domestic Shorthair Mix,Orange Tabby/White,1,0.25,4,11,25,7,Unknown,Unknown
Adoption,Dog,Neutered Male,Labrador Retriever Mix,Yellow,1,12.0,6,18,22,11,Male,Neutered
Transfer,Cat,Spayed Female,Domestic Shorthair Mix,Orange Tabby,1,24.0,1,9,29,7,Female,Spayed
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Orange Tabby,1,3.0,0,17,5,10,Female,Spayed
Adoption,Dog,Spayed Female,Labrador Retriever Mix,Black,1,4.0,0,18,8,9,Female,Spayed
Euthanasia,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,1,12.0,1,15,13,10,Female,Intact
Return_to_owner,Cat,Spayed Female,Domestic Medium Hair Mix,Black/White,1,84.0,2,18,4,3,Female,Spayed
Adoption,Dog,Intact Female,Chihuahua Longhair Mix,Red,1,12.0,2,15,28,1,Female,Intact
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,1,84.0,3,15,15,1,Male,Neutered
Return_to_owner,Dog,Neutered Male,Other,Tricolor,0,5.0,2,17,3,12,Male,Neutered
Transfer,Cat,Spayed Female,Domestic Medium Hair Mix,Black/Brown,1,60.0,3,13,31,12,Female,Spayed
Transfer,Dog,Neutered Male,Other,Other,1,60.0,3,15,20,3,Male,Neutered
Return_to_owner,Dog,Spayed Female,Jack Russell Terrier Mix,White/Black,1,144.0,5,11,4,10,Female,Spayed
Adoption,Dog,Neutered Male,Other,White/Brown,0,24.0,3,18,9,7,Male,Neutered
Adoption,Dog,Spayed Female,Other,Black/White,0,12.0,5,14,6,12,Female,Spayed
